Monthly_Income,Total_Spending,Savings_Amount,Groceries_Spending,Transport_Spending,Entertainment_Spending,Utilities_Spending,Loan_Repayment,Insurance,Shopping_Spending,Investment_Amount,Other_Spending,Goal_Amount
28201000,24514000,3687000,4011000,1390000,2010000,1620000,2081000,1287000,2100000,1731000,8284000,200000000
21094000,19732000,1362000,2789000,1372000,1264000,1166000,1072000,903000,1808000,1946000,7412000,100000000
28328000,22499000,5829000,2336000,2177000,1398000,1203000,1659000,593000,1411000,1639000,10083000,100000000
26082000,23882000,2200000,3136000,1235000,1839000,1472000,1384000,957000,2858000,2407000,8594000,200000000
18315000,14108000,4207000,2474000,1321000,901000,906000,1228000,746000,870000,1179000,4483000,200000000
7234000,6620000,614000,587000,427000,459000,410000,394000,271000,396000,572000,3104000,100000000
19586000,15699000,3887000,2321000,1410000,1447000,937000,1433000,789000,2264000,795000,4303000,200000000
28981000,23210000,5771000,4059000,1745000,1979000,1057000,1705000,681000,1813000,1926000,8245000,20000000
14629000,11376000,3253000,1656000,806000,1260000,692000,1671000,367000,871000,1155000,2898000,500000000
26250000,22201000,4049000,2108000,1782000,1102000,929000,3037000,984000,1943000,1519000,8797000,200000000
15527000,13500000,2027000,1254000,1180000,838000,531000,1432000,684000,1521000,921000,5139000,200000000
26301000,24475000,1826000,2871000,1389000,1127000,1305000,2798000,547000,1823000,1679000,10936000,200000000
12405000,9714000,2691000,1127000,725000,617000,725000,1208000,410000,1364000,696000,2842000,20000000
9982000,8650000,1332000,1263000,491000,461000,476000,1066000,497000,519000,760000,3117000,500000000
18953000,14256000,4697000,2457000,897000,1452000,1021000,1796000,814000,937000,814000,4068000,200000000
23544000,20960000,2584000,2177000,1674000,1377000,825000,1886000,789000,1088000,2116000,9028000,200000000
9521000,8211000,1310000,1354000,457000,821000,472000,1058000,218000,608000,929000,2294000,200000000
11020000,9551000,1469000,1222000,790000,454000,573000,889000,339000,617000,550000,4117000,200000000
8345000,7130000,1215000,751000,477000,606000,261000,649000,206000,642000,447000,3091000,200000000
14180000,12840000,1340000,1893000,1132000,1255000,467000,1329000,675000,1697000,1374000,3018000,500000000
5103000,4568000,535000,690000,244000,249000,273000,590000,207000,559000,254000,1502000,100000000
20964000,17985000,2979000,2615000,917000,1302000,906000,1697000,957000,2340000,972000,6279000,200000000
6263000,4984000,1279000,875000,269000,470000,264000,565000,294000,667000,549000,1031000,100000000
14785000,11844000,2941000,1946000,1085000,1059000,852000,1249000,565000,913000,1193000,2982000,50000000
10665000,9738000,927000,1512000,613000,728000,637000,1212000,215000,620000,862000,3339000,50000000
14696000,12399000,2297000,1622000,590000,828000,778000,1431000,539000,1449000,788000,4374000,50000000
14306000,12096000,2210000,1893000,1073000,1093000,769000,1135000,631000,1258000,895000,3349000,100000000
10743000,8979000,1764000,1611000,807000,781000,389000,994000,316000,607000,532000,2942000,100000000
15642000,13876000,1766000,2045000,1130000,753000,559000,953000,748000,1836000,777000,5075000,50000000
11114000,8962000,2152000,978000,555000,980000,660000,822000,555000,822000,775000,2815000,100000000
18238000,16303000,1935000,2121000,1001000,1236000,927000,1852000,665000,1918000,1466000,5117000,100000000
26499000,23431000,3068000,3209000,1850000,1756000,1341000,2368000,952000,1216000,1570000,9169000,50000000
17649000,16090000,1559000,1627000,1051000,1454000,681000,1271000,700000,756000,1209000,7341000,100000000
25053000,22996000,2057000,3693000,1156000,1804000,1418000,1888000,927000,1916000,1526000,8668000,200000000
21862000,16916000,4946000,2018000,1087000,956000,685000,2332000,542000,1083000,2074000,6139000,20000000
10148000,8841000,1307000,938000,801000,663000,388000,892000,285000,1201000,834000,2839000,200000000
23732000,18959000,4773000,3419000,1093000,1876000,840000,1583000,618000,2491000,1839000,5200000,50000000
7428000,5930000,1498000,836000,513000,557000,381000,526000,165000,567000,623000,1762000,500000000
7663000,6405000,1258000,647000,453000,678000,394000,634000,186000,907000,430000,2076000,50000000
27277000,21408000,5869000,3324000,1908000,1125000,1256000,2820000,1341000,1611000,2613000,5410000,50000000
15959000,15158000,801000,1949000,1060000,847000,481000,1912000,585000,1505000,829000,5990000,100000000
28418000,26078000,2340000,2402000,1636000,1917000,1597000,1790000,676000,1177000,1372000,13511000,200000000
20346000,15854000,4492000,3013000,1102000,1444000,1194000,2092000,842000,1420000,1920000,2827000,500000000
25194000,19214000,5980000,2975000,1768000,1353000,909000,2348000,864000,1168000,1401000,6428000,200000000
25163000,21333000,3830000,2999000,1332000,2047000,1391000,2194000,673000,1746000,2287000,6664000,200000000
8385000,6803000,1582000,976000,600000,404000,496000,987000,405000,591000,485000,1859000,500000000
20934000,19234000,1700000,2570000,1407000,838000,833000,1520000,560000,1466000,1207000,8833000,200000000
16184000,13202000,2982000,1594000,1021000,1418000,575000,1010000,371000,1184000,1577000,4452000,100000000
6466000,5303000,1163000,647000,354000,385000,384000,721000,169000,578000,633000,1432000,50000000
21845000,20274000,1571000,2530000,1053000,1920000,695000,1197000,1035000,1205000,2134000,8505000,200000000
23603000,18726000,4877000,3221000,1615000,1272000,903000,2530000,1079000,1387000,1138000,5581000,500000000
24523000,23132000,1391000,2047000,1071000,1059000,1282000,2238000,1148000,2247000,1822000,10218000,50000000
16392000,12360000,4032000,2004000,1292000,1289000,795000,1008000,778000,1267000,692000,3235000,1000000000
20359000,15407000,4952000,2778000,1611000,1665000,1029000,1342000,455000,1078000,1653000,3796000,50000000
25834000,20476000,5358000,2350000,1168000,1669000,1324000,1574000,1068000,2660000,2074000,6589000,20000000
7670000,6540000,1130000,622000,339000,335000,388000,769000,306000,878000,763000,2140000,200000000
17839000,15883000,1956000,1818000,1008000,1297000,718000,1076000,888000,1378000,1653000,6047000,100000000
26775000,23621000,3154000,3244000,2103000,1315000,1053000,2616000,1110000,2386000,1422000,8372000,200000000
18480000,17175000,1305000,1657000,1035000,1524000,792000,1090000,809000,1945000,1231000,7092000,50000000
11398000,9175000,2223000,1252000,622000,612000,618000,1210000,472000,1335000,632000,2422000,50000000
18187000,13783000,4404000,2158000,1239000,1498000,1058000,2080000,702000,2138000,780000,2130000,200000000
6871000,6199000,672000,838000,324000,422000,300000,613000,251000,782000,433000,2236000,500000000
9155000,6907000,2248000,908000,499000,639000,298000,1077000,449000,964000,425000,1648000,100000000
15946000,13704000,2242000,1722000,824000,1267000,927000,1233000,767000,1181000,1370000,4413000,50000000
28027000,25840000,2187000,3769000,1795000,1178000,908000,1881000,929000,2623000,1776000,10981000,200000000
19091000,15188000,3903000,2785000,888000,1547000,664000,1191000,545000,1930000,799000,4839000,500000000
24083000,18881000,5202000,3380000,1492000,1130000,1349000,2012000,849000,1140000,1354000,6175000,100000000
25687000,22667000,3020000,3070000,1909000,1488000,1196000,1519000,1089000,1267000,1540000,9589000,100000000
27335000,20682000,6653000,2972000,1656000,1740000,1109000,3043000,875000,2636000,1837000,4814000,1000000000
27192000,22915000,4277000,2809000,1831000,2305000,1575000,2853000,982000,2538000,2199000,5823000,200000000
5272000,4975000,297000,468000,227000,217000,310000,471000,153000,550000,460000,2119000,200000000
8585000,7564000,1021000,751000,498000,583000,343000,863000,282000,470000,851000,2923000,50000000
12281000,9786000,2495000,1574000,538000,886000,688000,657000,598000,1412000,1121000,2312000,200000000
24077000,21916000,2161000,2364000,1540000,1344000,1212000,1547000,637000,1422000,1624000,10226000,500000000
13585000,12548000,1037000,1329000,696000,741000,519000,1270000,675000,690000,629000,5999000,200000000
24436000,20214000,4222000,3662000,1258000,1577000,1423000,2039000,647000,1611000,1951000,6046000,50000000
23049000,20519000,2530000,2147000,993000,1138000,735000,2128000,682000,2413000,1506000,8777000,200000000
25547000,21135000,4412000,2309000,1339000,1620000,1010000,1436000,578000,1080000,1644000,10119000,500000000
22824000,20243000,2581000,1984000,1376000,1786000,956000,2184000,971000,1327000,1375000,8284000,100000000
8047000,6403000,1644000,970000,510000,662000,408000,855000,165000,937000,403000,1493000,200000000
15974000,13828000,2146000,1980000,682000,947000,498000,1410000,697000,661000,724000,6229000,200000000
5565000,4189000,1376000,587000,368000,394000,315000,417000,208000,346000,496000,1058000,100000000
7879000,6895000,984000,926000,469000,315000,392000,490000,335000,521000,403000,3044000,200000000
27374000,25203000,2171000,3701000,1683000,1848000,1047000,1877000,1191000,3118000,2244000,8494000,200000000
6007000,4944000,1063000,825000,440000,533000,299000,520000,143000,649000,502000,1033000,100000000
26551000,21354000,5197000,3904000,1425000,1477000,1224000,1802000,548000,2039000,1552000,7383000,200000000
8367000,7372000,995000,1152000,393000,584000,335000,874000,210000,547000,614000,2663000,100000000
27044000,21657000,5387000,3233000,1679000,2113000,835000,1602000,852000,3125000,2236000,5982000,50000000
29585000,26085000,3500000,2739000,2302000,2084000,1377000,2549000,657000,1629000,1422000,11326000,200000000
7704000,7169000,535000,670000,468000,469000,250000,653000,260000,602000,386000,3411000,50000000
7631000,7122000,509000,640000,559000,363000,414000,456000,218000,561000,634000,3277000,100000000
8495000,7261000,1234000,1076000,597000,537000,277000,1016000,263000,975000,482000,2038000,1000000000
27294000,20560000,6734000,3726000,1658000,1494000,1170000,2937000,1316000,2742000,1267000,4250000,100000000
23545000,19863000,3682000,2722000,1552000,1761000,1013000,1814000,982000,1815000,1677000,6527000,100000000
28501000,24042000,4459000,2389000,1604000,1770000,1331000,2791000,1133000,2524000,2519000,7981000,1000000000
20606000,16020000,4586000,2421000,1262000,1700000,643000,2064000,816000,2320000,1203000,3591000,200000000
16002000,12170000,3832000,2328000,965000,795000,578000,1529000,587000,1704000,890000,2794000,200000000
6285000,5750000,535000,766000,430000,383000,226000,505000,222000,561000,330000,2327000,500000000
27858000,25730000,2128000,3807000,1571000,1891000,1336000,3119000,1294000,3154000,1911000,7647000,50000000
10173000,8276000,1897000,1384000,448000,471000,386000,1058000,226000,716000,757000,2830000,500000000
23203000,19204000,3999000,3370000,1660000,1610000,796000,2041000,665000,2289000,1115000,5658000,100000000
5049000,4447000,602000,676000,340000,275000,154000,253000,117000,208000,445000,1979000,50000000
15789000,12172000,3617000,2090000,1232000,813000,872000,1036000,321000,1368000,1134000,3306000,500000000
11556000,9724000,1832000,1114000,660000,544000,683000,989000,236000,589000,852000,4057000,100000000
23282000,21311000,1971000,1960000,1004000,1339000,1190000,2629000,482000,1908000,1096000,9703000,100000000
19617000,17108000,2509000,2280000,880000,1696000,831000,1844000,794000,1172000,1518000,6093000,200000000
24008000,18593000,5415000,2130000,1703000,998000,808000,1903000,560000,1691000,1937000,6863000,50000000
28717000,27174000,1543000,4232000,1227000,2372000,1271000,1532000,749000,2969000,1844000,10978000,50000000
17719000,13864000,3855000,1777000,1352000,1061000,775000,1627000,577000,792000,1346000,4557000,500000000
20161000,15316000,4845000,2817000,1034000,1373000,859000,1503000,566000,1673000,1089000,4402000,100000000
21030000,18438000,2592000,2253000,1597000,1380000,870000,1843000,936000,1085000,1648000,6826000,500000000
6737000,6016000,721000,691000,478000,581000,303000,698000,261000,578000,485000,1941000,200000000
15500000,14211000,1289000,2255000,1160000,1217000,499000,1647000,465000,1406000,1162000,4400000,200000000
9780000,9213000,567000,1031000,475000,873000,305000,1081000,289000,534000,539000,4086000,200000000
29247000,23827000,5420000,3139000,1867000,2332000,934000,2765000,1185000,1184000,2555000,7866000,50000000
23887000,21876000,2011000,2088000,1045000,1309000,860000,2709000,600000,1119000,2139000,10007000,50000000
21029000,16214000,4815000,2669000,1011000,1854000,806000,2068000,598000,2001000,973000,4234000,500000000
24009000,20620000,3389000,2406000,1258000,2141000,842000,2518000,735000,1690000,2210000,6820000,100000000
16337000,12341000,3996000,1977000,1138000,754000,614000,1601000,550000,1141000,1414000,3152000,20000000
8853000,6675000,2178000,1075000,363000,753000,315000,983000,228000,844000,648000,1466000,1000000000
21013000,16598000,4415000,2739000,1600000,1538000,725000,1379000,519000,1676000,910000,5512000,200000000
22773000,19631000,3142000,3010000,975000,1961000,883000,2350000,1132000,2072000,1626000,5622000,500000000
16910000,14501000,2409000,1962000,931000,1451000,709000,984000,801000,1920000,1152000,4591000,500000000
12130000,9217000,2913000,1251000,525000,1026000,635000,685000,433000,977000,648000,3037000,200000000
9546000,7679000,1867000,1323000,675000,804000,560000,806000,410000,869000,859000,1373000,200000000
20594000,17914000,2680000,2094000,940000,945000,1186000,1463000,828000,1878000,1220000,7360000,50000000
25525000,19846000,5679000,2949000,1924000,1204000,1130000,2283000,568000,2113000,1910000,5765000,50000000
25920000,23215000,2705000,2802000,1587000,1189000,1136000,2526000,921000,2415000,1738000,8901000,100000000
12988000,9905000,3083000,1816000,1012000,579000,439000,855000,331000,1386000,1204000,2283000,50000000
18072000,16292000,1780000,1992000,933000,1042000,1069000,1789000,678000,1891000,1266000,5632000,200000000
28022000,22513000,5509000,2999000,1630000,2079000,1480000,3354000,612000,1249000,1588000,7522000,200000000
25379000,20824000,4555000,3256000,1720000,1465000,1407000,2619000,632000,2948000,2115000,4662000,500000000
10516000,8757000,1759000,1285000,771000,799000,389000,654000,457000,1133000,905000,2364000,200000000
23899000,20467000,3432000,2091000,1359000,1936000,1005000,2255000,1083000,2812000,2296000,5630000,1000000000
19882000,16671000,3211000,2298000,1505000,1458000,658000,1007000,939000,1104000,1685000,6017000,100000000
5491000,4456000,1035000,722000,246000,347000,320000,455000,258000,455000,236000,1417000,100000000
15337000,12627000,2710000,2292000,1048000,840000,592000,1339000,724000,1153000,1376000,3263000,100000000
17722000,15856000,1866000,2198000,956000,819000,849000,2092000,405000,1243000,1222000,6072000,100000000
14910000,13354000,1556000,1579000,657000,964000,515000,1515000,593000,1081000,727000,5723000,200000000
27178000,22291000,4887000,2604000,1507000,2065000,1470000,2702000,1115000,3052000,2683000,5093000,200000000
17767000,16337000,1430000,2507000,1336000,1198000,632000,1550000,498000,1703000,1404000,5509000,100000000
17797000,13437000,4360000,2439000,1410000,1354000,966000,1529000,886000,1174000,1665000,2014000,100000000
11915000,9301000,2614000,1148000,664000,676000,501000,1423000,340000,838000,604000,3107000,500000000
27945000,24016000,3929000,2628000,2109000,1211000,1323000,1439000,1041000,2165000,2420000,9680000,100000000
11907000,10061000,1846000,1549000,719000,935000,454000,848000,550000,826000,902000,3278000,100000000
10889000,9573000,1316000,1111000,748000,555000,615000,646000,312000,619000,688000,4279000,500000000
29335000,26974000,2361000,2976000,1227000,2077000,1549000,2114000,1120000,2195000,1549000,12167000,100000000
11510000,9573000,1937000,1044000,717000,923000,468000,949000,479000,534000,696000,3763000,1000000000
13511000,10164000,3347000,1331000,578000,634000,643000,999000,524000,1464000,973000,3018000,100000000
12888000,11824000,1064000,1417000,654000,901000,437000,1513000,415000,1366000,1082000,4039000,100000000
5770000,4863000,907000,758000,362000,430000,201000,563000,279000,643000,382000,1245000,200000000
27070000,20518000,6552000,2803000,1957000,2093000,1245000,2733000,1039000,2048000,1720000,4880000,500000000
20453000,15412000,5041000,2107000,1277000,969000,1007000,2085000,547000,1884000,829000,4707000,200000000
12971000,11062000,1909000,1296000,1005000,1054000,606000,1465000,573000,1359000,1258000,2446000,200000000
8331000,7793000,538000,945000,603000,372000,390000,864000,331000,543000,718000,3027000,1000000000
8256000,7430000,826000,765000,382000,545000,432000,422000,192000,749000,824000,3119000,200000000
5874000,4754000,1120000,670000,326000,365000,335000,401000,166000,441000,559000,1491000,100000000
10654000,9973000,681000,1377000,711000,544000,444000,1270000,264000,745000,978000,3640000,200000000
17262000,14197000,3065000,1417000,1338000,951000,796000,1651000,383000,1877000,751000,5033000,500000000
22751000,19564000,3187000,1836000,1809000,1097000,1292000,1246000,612000,2046000,1750000,7876000,50000000
8344000,7625000,719000,711000,588000,511000,367000,690000,237000,750000,447000,3324000,100000000
28842000,26826000,2016000,3389000,1816000,1205000,1250000,3422000,981000,1516000,2679000,10568000,200000000
14602000,11877000,2725000,2042000,1026000,1233000,774000,1745000,717000,989000,1302000,2049000,100000000
27993000,25608000,2385000,2249000,1426000,1349000,1577000,2247000,1352000,3004000,1406000,10998000,50000000
26971000,22803000,4168000,3926000,1385000,2274000,1406000,3035000,1149000,1539000,2352000,5737000,500000000
7959000,6776000,1183000,696000,527000,662000,263000,728000,314000,936000,790000,1860000,200000000
26352000,21484000,4868000,3661000,1973000,1649000,1158000,2257000,1276000,2808000,1619000,5083000,200000000
28484000,24603000,3881000,3241000,2244000,1848000,1036000,2246000,691000,1749000,1764000,9784000,200000000
5044000,3868000,1176000,636000,271000,278000,199000,567000,151000,245000,209000,1312000,20000000
19744000,15391000,4353000,2285000,1419000,1774000,870000,1846000,723000,1058000,1651000,3765000,50000000
7539000,5929000,1610000,855000,558000,554000,276000,553000,335000,448000,676000,1674000,500000000
21887000,19579000,2308000,3030000,1421000,1917000,995000,1848000,847000,1292000,937000,7292000,200000000
23353000,17585000,5768000,3104000,1259000,1418000,1151000,1894000,1034000,965000,2259000,4501000,50000000
19644000,16602000,3042000,2236000,1272000,1653000,1105000,1603000,483000,1910000,872000,5468000,200000000
15512000,11707000,3805000,1362000,983000,968000,564000,1114000,400000,1833000,1150000,3333000,500000000
13306000,10403000,2903000,1172000,855000,1109000,523000,1255000,562000,837000,1273000,2817000,50000000
