Monthly_Income,Total_Spending,Savings_Amount,Groceries_Spending,Transport_Spending,Entertainment_Spending,Utilities_Spending,Loan_Repayment,Insurance,Shopping_Spending,Investment_Amount,Goal_Amount
17484000,11269000,6214000,2398000,1031000,1086000,1286000,1920000,924000,1007000,1618000,200000000
14309000,7818000,6491000,1423000,876000,954000,692000,1768000,610000,435000,1059000,200000000
18238000,9709000,8530000,3187000,775000,1183000,656000,813000,765000,877000,1453000,200000000
22615000,12267000,10348000,2793000,1283000,779000,1074000,2779000,428000,2113000,1019000,100000000
13829000,10542000,3287000,1838000,1118000,779000,955000,1904000,555000,1902000,1491000,200000000
13829000,7236000,6593000,1635000,567000,931000,636000,1274000,541000,795000,858000,50000000
22896000,14919000,7977000,3258000,1526000,1432000,1498000,1067000,1330000,3312000,1495000,100000000
18837000,15803000,3034000,3017000,2012000,1674000,1346000,2845000,308000,1709000,2892000,50000000
12653000,8002000,4650000,1955000,683000,744000,794000,1787000,542000,799000,697000,20000000
17713000,14941000,2772000,2611000,1371000,1392000,1331000,2865000,693000,2233000,2444000,500000000
12683000,10596000,2087000,2226000,1466000,1036000,917000,1979000,459000,1157000,1355000,20000000
12671000,7737000,4934000,1913000,843000,766000,804000,1165000,422000,444000,1381000,20000000
16210000,13421000,2789000,3466000,1789000,1019000,1402000,1328000,645000,2846000,927000,100000000
5434000,4545000,888000,757000,607000,440000,350000,1070000,186000,639000,497000,100000000
6375000,4328000,2047000,960000,291000,493000,213000,972000,111000,587000,700000,20000000
12189000,7248000,4940000,1329000,544000,1110000,386000,700000,379000,1495000,1305000,200000000
9936000,7299000,2637000,1241000,811000,831000,624000,1134000,446000,1127000,1084000,50000000
16571000,15157000,1415000,4130000,2155000,1137000,1150000,1558000,452000,1795000,2780000,20000000
10460000,8241000,2219000,1902000,545000,752000,670000,2162000,626000,548000,1036000,20000000
7938000,4587000,3352000,1067000,517000,364000,462000,438000,227000,524000,989000,200000000
22328000,18024000,4304000,3550000,1922000,1359000,1354000,5305000,917000,2197000,1420000,50000000
