user_id,income,total_spending,savings_investment,spending_behavior_class,is_budget_tracker_user,spending_food,spending_transport,spending_bills,spending_entertainment,spending_shopping,spending_education,spending_other
1,5000000,2818000,2182000,balanced,1,343000,831000,479000,114000,167000,629000,255000
2,46000000,18416000,27584000,savings_oriented,1,5046000,4666000,2088000,2025000,2336000,2114000,141000
3,10000000,5195000,4805000,balanced,1,45000,620000,1071000,12000,1337000,999000,1111000
4,42000000,13287000,28713000,savings_oriented,1,314000,2839000,1842000,1602000,1796000,2731000,2163000
5,12000000,8671000,3329000,high_spender,1,86000,1860000,1591000,474000,1326000,1774000,1560000
6,7000000,5395000,1605000,high_spender,1,1300000,580000,1107000,866000,638000,180000,724000
7,31000000,24569000,6431000,high_spender,0,5822000,5503000,3608000,636000,3656000,465000,4879000
8,49000000,29998000,19002000,balanced,0,5248000,3566000,2610000,3453000,5629000,3227000,6265000
9,6000000,4063000,1937000,balanced,0,91000,318000,428000,345000,1013000,921000,947000
10,42000000,24711000,17289000,balanced,1,3306000,4452000,1136000,6884000,1573000,4667000,2693000
11,34000000,19112000,14888000,balanced,0,4354000,3684000,819000,3818000,2966000,968000,2503000
12,17000000,14442000,2558000,high_spender,1,1049000,3201000,3384000,85000,2610000,1805000,2308000
13,28000000,12541000,15459000,savings_oriented,1,4372000,987000,114000,2375000,1227000,2308000,1158000
14,6000000,5399000,601000,high_spender,1,511000,839000,508000,1706000,246000,88000,1501000
15,43000000,19103000,23897000,savings_oriented,0,3154000,2429000,3254000,3215000,3798000,1575000,1678000
16,49000000,41615000,7385000,high_spender,1,7888000,877000,2930000,9979000,1071000,10138000,8732000
17,15000000,9417000,5583000,balanced,0,1154000,1030000,208000,1269000,2155000,1695000,1906000
18,17000000,15695000,1305000,high_spender,1,2063000,2761000,3126000,2528000,2537000,1486000,1194000
19,45000000,28650000,16350000,balanced,0,6822000,4226000,6330000,3273000,560000,2029000,5410000
20,31000000,29470000,1530000,high_spender,0,435000,7607000,6489000,265000,4420000,6378000,3876000
21,11000000,4101000,6899000,savings_oriented,1,1122000,2000,327000,472000,891000,353000,934000
22,38000000,18617000,19383000,savings_oriented,0,5545000,1840000,9762000,391000,238000,236000,605000
23,29000000,11298000,17702000,savings_oriented,1,1780000,1926000,531000,969000,2445000,906000,2741000
24,34000000,22099000,11901000,balanced,0,3831000,311000,2884000,3235000,3680000,4848000,3310000
25,26000000,15104000,10896000,balanced,0,1476000,3010000,2243000,2748000,2980000,1865000,782000
26,28000000,18868000,9132000,balanced,0,3594000,1997000,2825000,2334000,1807000,3693000,2618000
27,47000000,25891000,21109000,balanced,1,1769000,6390000,991000,853000,4893000,6416000,4579000
28,49000000,45263000,3737000,high_spender,0,9317000,8501000,5227000,6022000,6494000,6168000,3534000
29,46000000,16868000,29132000,savings_oriented,0,3003000,3454000,2349000,557000,3631000,320000,3554000
30,17000000,6865000,10135000,savings_oriented,0,1268000,1394000,1117000,858000,1159000,106000,963000
31,21000000,10305000,10695000,savings_oriented,0,838000,1331000,548000,1553000,1180000,2629000,2226000
32,49000000,39514000,9486000,high_spender,1,127000,8216000,6835000,7602000,2019000,10081000,4634000
33,8000000,6202000,1798000,high_spender,1,1414000,1438000,664000,696000,456000,842000,692000
34,25000000,23031000,1969000,high_spender,0,1543000,778000,3535000,4417000,5613000,5985000,1160000
35,27000000,17774000,9226000,balanced,1,5960000,730000,4375000,4355000,337000,1886000,131000
36,46000000,20464000,25536000,savings_oriented,1,1443000,4007000,1106000,4999000,2238000,2438000,4233000
37,7000000,5201000,1799000,high_spender,1,759000,579000,974000,713000,1084000,25000,1067000
